index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,Intercept,0.64252064351158,Intercept,596.4255383677781,596.0,-0.42553836777813103,653.0
1,grade:A,0.16960161151382125,grade,6.658693583135802,7.0,0.3413064168641977,7.0
2,grade:B,0.08138750803897198,grade,3.1953380200184753,3.0,-0.19533802001847533,3.0
3,grade:C,0.13089243491616379,grade,5.138940654383192,5.0,-0.13894065438319192,5.0
4,grade:D,0.2533237397734963,grade,9.945690641909271,10.0,0.054309358090728566,10.0
5,grade:E,0.18872745954277326,grade,7.409589523367096,7.0,-0.40958952336709586,7.0
6,grade:F,0.3195499114669004,grade,12.545782590060268,13.0,0.4542174099397318,13.0
7,home_ownership:OWN,-0.0712020305638606,home_ownership,-2.795448108010349,-3.0,-0.20455189198965096,-3.0
8,home_ownership:OTHER_NONE_RENT,-0.1504259552401316,home_ownership,-5.905842131770734,-6.0,-0.0941578682292663,-6.0
9,verification_status:Source Verified,-0.13685150677022875,verification_status,-5.37289853462936,-5.0,0.3728985346293596,-5.0
10,verification_status:Verified,-0.17979009975584453,verification_status,-7.058701700237251,-7.0,0.05870170023725141,-7.0
11,purpose:debt_consolidation,-0.12506717954433536,purpose,-4.910236515204891,-5.0,-0.08976348479510943,-5.0
12,purpose:credit_card,-0.06627906410615353,purpose,-2.602168546163406,-3.0,-0.39783145383659413,-3.0
13,purpose:educ__ren_en__sm_b__mov,-0.3066362000218123,purpose,-12.038780051780327,-12.0,0.03878005178032673,-12.0
14,purpose:vacation__house__wedding__med__oth,0.10354139711201799,purpose,4.065117249682059,4.0,-0.0651172496820589,4.0
15,term:36,-0.08041857597569528,term,-3.157296979873587,-3.0,0.15729697987358682,-3.0
16,int_rate:<7.071,2.129026670210697,int_rate,83.58727314393279,84.0,0.41272685606720927,84.0
17,int_rate:7.071-10.374,1.6180568414729906,int_rate,63.52619300782514,64.0,0.47380699217485756,64.0
18,int_rate:10.374-13.676,1.2216812810303512,int_rate,47.964174597309196,48.0,0.03582540269080425,48.0
19,int_rate:13.676-15.74,0.7444210763661351,int_rate,29.22656099848605,29.0,-0.22656099848605038,29.0
20,int_rate:15.74-20.281,0.5061184614115783,int_rate,19.870611612869055,20.0,0.1293883871309447,20.0
21,annual_inc:missing,0.12675252664081738,annual_inc,4.976404576914533,5.0,0.02359542308546736,5.0
22,"annual_inc:<28,555",-0.1293293754125821,annual_inc,-5.077573700415832,-5.0,0.07757370041583211,-5.0
23,"annual_inc:28,555-37,440",-0.2285060616616082,annual_inc,-8.971328945007045,-9.0,-0.02867105499295519,-9.0
24,"annual_inc:37,440-61,137",-0.18250912772599737,annual_inc,-7.1654528916653355,-7.0,0.1654528916653355,-7.0
25,"annual_inc:61,137-81,872",-0.09410240782185511,annual_inc,-3.6945350549923988,-4.0,-0.30546494500760124,-4.0
26,"annual_inc:81,872-102,606",-0.026805266052211833,annual_inc,-1.0523959734991402,-1.0,0.05239597349914016,-1.0
27,"annual_inc:102,606-120,379",-0.039161591768146736,annual_inc,-1.5375151066338315,-2.0,-0.4624848933661685,-2.0
28,"annual_inc:120,379-150,000",-0.009362144811129094,annual_inc,-0.36756521958621385,-0.0,0.36756521958621385,-0.0
29,dti:<=1.6,0.03869923938181308,dti,1.5193627857888345,2.0,0.48063721421116545,2.0
30,dti:1.6-5.599,0.04016578787856719,dti,1.5769406411967606,2.0,0.4230593588032394,2.0
31,dti:5.599-10.397,-0.03560802968587868,dti,-1.3979994450592084,-1.0,0.39799944505920837,-1.0
32,dti:10.397-15.196,-0.09845361409060921,dti,-3.8653668590185775,-4.0,-0.13463314098142254,-4.0
33,dti:15.196-19.195,-0.1787970037567621,dti,-7.019711964836128,-7.0,0.01971196483612836,-7.0
34,dti:19.195-24.794,-0.22745343019216227,dti,-8.930001799890649,-9.0,-0.06999820010935132,-9.0
35,dti:24.794-35.191,-0.2565608650912452,dti,-10.072782745508444,-10.0,0.07278274550844444,-10.0
36,inq_last_6mths:missing,0.0034597005537047227,inq_last_6mths,0.13583058363008343,0.0,-0.13583058363008343,0.0
37,inq_last_6mths:0,0.568132784711295,inq_last_6mths,22.30534305753272,22.0,-0.3053430575327205,22.0
38,inq_last_6mths:1-2,0.4402759157877617,inq_last_6mths,17.285581128020706,17.0,-0.2855811280207057,17.0
39,inq_last_6mths:3-4,0.27832308138652817,inq_last_6mths,10.927184591733855,11.0,0.07281540826614474,11.0
40,revol_util:missing,-0.2060530278911565,revol_util,-8.089805057617246,-8.0,0.08980505761724622,-8.0
41,revol_util:<0.1,-0.143732973742422,revol_util,-5.6430703776992,-6.0,-0.3569296223008003,-6.0
42,revol_util:0.1-0.2,-0.30719539754492303,revol_util,-12.06073458939119,-12.0,0.06073458939119014,-12.0
43,revol_util:0.2-0.3,0.3291545371318968,revol_util,12.922867800000747,13.0,0.07713219999925336,13.0
44,revol_util:0.3-0.4,-0.12998349225016323,revol_util,-5.103254845483652,-5.0,0.10325484548365171,-5.0
45,revol_util:0.4-0.5,0.024152918789491624,revol_util,0.9482627194522965,1.0,0.051737280547703546,1.0
46,revol_util:0.5-0.6,0.6679536257388794,revol_util,26.224388328865118,26.0,-0.22438832886511761,26.0
47,revol_util:0.6-0.7,-0.3259583489017791,revol_util,-12.797382918881889,-13.0,-0.2026170811181114,-13.0
48,revol_util:0.7-0.8,0.0057022511169418704,revol_util,0.22387489471888403,0.0,-0.22387489471888403,0.0
49,revol_util:0.8-0.9,0.05264145508760497,revol_util,2.0667452158625377,2.0,-0.06674521586253768,2.0
50,revol_util:0.9-1.0,0.34246723821722186,revol_util,13.445534987534133,13.0,-0.445534987534133,13.0
51,"out_prncp:<1,286",-2.860041354424201,out_prncp,-112.28748856938488,-112.0,0.28748856938487677,-112.0
52,"out_prncp:1,286-6,432",-0.577744042562747,out_prncp,-22.682688652365776,-23.0,-0.31731134763422375,-23.0
53,"out_prncp:6,432-9,005",-0.38306805087834805,out_prncp,-15.039555046209747,-15.0,0.03955504620974715,-15.0
54,"out_prncp:9,005-10,291",-0.2303287786980976,out_prncp,-9.042890259350777,-9.0,0.04289025935077717,-9.0
55,"out_prncp:10,291-15,437",-0.10347460820714725,out_prncp,-4.062495064383713,-4.0,0.06249506438371277,-4.0
56,"total_pymnt:<10,000",-1.6588486765808341,total_pymnt,-65.1277127590381,-65.0,0.1277127590381042,-65.0
57,"total_pymnt:10,000-15,000",-2.0194890679691238,total_pymnt,-79.2867401322013,-79.0,0.28674013220130234,-79.0
58,"total_pymnt:15,000-20,000",-1.6659159891978508,total_pymnt,-65.40518104930318,-65.0,0.4051810493031809,-65.0
59,"total_rec_int:<1,089",1.7545095137569702,total_rec_int,68.88343298466948,69.0,0.11656701533051717,69.0
60,"total_rec_int:1,089-2,541",0.6936647226073062,total_rec_int,27.233826353687334,27.0,-0.23382635368733418,27.0
61,"total_rec_int:2,541-4,719",0.1064657508682821,total_rec_int,4.179929694079547,4.0,-0.17992969407954718,4.0
62,"total_rec_int:4,719-7,260",-0.037034678864309487,total_rec_int,-1.4540108216317065,-1.0,0.4540108216317065,-1.0
63,total_rev_hi_lim:missing,-0.31326421044819114,total_rev_hi_lim,-12.29900099013792,-12.0,0.2990009901379196,-12.0
64,"total_rev_hi_lim:<6,381",-0.0029046066216280963,total_rev_hi_lim,-0.1140371562530385,-0.0,0.1140371562530385,-0.0
65,"total_rev_hi_lim:6,381-19,144",-0.07600163301565795,total_rev_hi_lim,-2.983884301287802,-3.0,-0.01611569871219798,-3.0
66,"total_rev_hi_lim:19,144-25,525",-0.07168058149909677,total_rev_hi_lim,-2.8142363967136146,-3.0,-0.18576360328638541,-3.0
67,"total_rev_hi_lim:25,525-35,097",-0.1121455541894085,total_rev_hi_lim,-4.402923270557302,-4.0,0.40292327055730226,-4.0
68,"total_rev_hi_lim:35,097-54,241",-0.0997043019340649,total_rev_hi_lim,-3.9144698542283,-4.0,-0.08553014577169993,-4.0
69,"total_rev_hi_lim:54,241-79,780",-0.0362837324338585,total_rev_hi_lim,-1.4245280700641292,-1.0,0.4245280700641292,-1.0
70,earliest_cr_line:missing,0.0034597005537047227,earliest_cr_line,0.13583058363008343,0.0,-0.13583058363008343,0.0
71,earliest_cr_line:<125,0.0,earliest_cr_line,0.0,0.0,0.0,0.0
72,earliest_cr_line:125-167,0.7490877693136443,earliest_cr_line,29.409779059368173,29.0,-0.40977905936817294,29.0
73,earliest_cr_line:167-249,0.005167185211667386,earliest_cr_line,0.20286778353518153,0.0,-0.20286778353518153,0.0
74,earliest_cr_line:249-331,-0.04728495738228719,earliest_cr_line,-1.8564448739016095,-2.0,-0.1435551260983905,-2.0
75,earliest_cr_line:331-434,0.006576658595603459,earliest_cr_line,0.2582048248135364,0.0,-0.2582048248135364,0.0
76,issue_d:<79,0.0,issue_d,0.0,0.0,0.0,0.0
77,issue_d:79-89,0.0,issue_d,0.0,0.0,0.0,0.0
78,issue_d:89-100,0.0,issue_d,0.0,0.0,0.0,0.0
79,issue_d:100-122,0.0,issue_d,0.0,0.0,0.0,0.0
80,last_credit_pull_d:missing,-0.7447566913224989,last_credit_pull_d,-29.239737507461395,-29.0,0.23973750746139544,-29.0
81,last_credit_pull_d:<56,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
82,last_credit_pull_d:56-61,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
0,last_credit_pull_d:>75,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
1,issue_d:>122,0.0,issue_d,0.0,0.0,0.0,0.0
2,earliest_cr_line:>434,0.0,earliest_cr_line,0.0,0.0,0.0,0.0
3,"total_rev_hi_lim:>79,780",0.0,total_rev_hi_lim,0.0,0.0,0.0,0.0
4,"total_rec_int:>7,260",0.0,total_rec_int,0.0,0.0,0.0,0.0
5,"total_pymnt:>25,000",0.0,total_pymnt,0.0,0.0,0.0,0.0
6,"out_prncp:>15,437",0.0,out_prncp,0.0,0.0,0.0,0.0
7,revol_util:>1.0,0.0,revol_util,0.0,0.0,0.0,0.0
8,inq_last_6mths:>4,0.0,inq_last_6mths,0.0,0.0,0.0,0.0
9,dti:>35.191,0.0,dti,0.0,0.0,0.0,0.0
10,annual_inc:>150K,0.0,annual_inc,0.0,0.0,0.0,0.0
11,int_rate:>20.281,0.0,int_rate,0.0,0.0,0.0,0.0
12,term:60,0.0,term,0.0,0.0,0.0,0.0
13,purpose:major_purch__car__home_impr,0.0,purpose,0.0,0.0,0.0,0.0
14,verification_status:Not Verified,0.0,verification_status,0.0,0.0,0.0,0.0
15,home_ownership:MORTGAGE,0.0,home_ownership,0.0,0.0,0.0,0.0
16,grade:G,0.0,grade,0.0,0.0,0.0,0.0
